index;Week 1;Week 2;Week 3;Week 4;Week 5;Week 6;Week 7;Week 8;Week 9;Week 10;Week 11;Week 12;Week 13;Week 14
1;1;2;0;1;0;0;2;1;1;2;1;0;0;1
2;1;1;0;1;0;0;2;1;2;2;1;0;0;1
3;1;1;0;1;0;0;2;1;2;2;1;0;0;1
4;1;1;0;1;0;0;2;1;0;2;1;0;0;1
5;1;2;0;1;0;0;2;1;1;2;1;0;0;1
6;1;1;0;1;0;0;2;1;0;2;1;0;0;1
7;1;2;0;1;0;0;2;1;1;2;1;0;0;1
8;1;7;8;9;6;7;9;7;10;9;9;7;0;1
9;9;9;8;10;8;7;9;9;9;7;8;8;6;8
10;10;8;11;10;9;9;12;9;12;8;9;11;8;8
11;11;11;9;10;12;11;9;11;10;11;12;11;10;9
12;10;11;10;11;11;11;9;12;10;10;9;10;11;9
13;12;12;12;11;13;8;7;14;9;9;10;12;11;9
14;10;8;9;9;9;10;6;14;10;10;10;12;12;10
15;9;3;8;6;8;9;3;13;3;10;6;10;8;11
16;10;8;5;5;7;9;3;9;6;5;4;9;5;7
17;6;4;4;3;5;6;2;5;6;5;4;6;4;6
18;4;3;2;0;3;4;0;5;1;2;2;3;2;4
19;4;3;2;0;2;3;0;4;3;1;2;2;1;2
20;3;1;2;0;2;1;0;4;3;1;2;2;0;2
21;3;2;1;0;2;0;0;3;2;0;2;1;0;1
22;3;1;0;0;0;0;0;3;0;0;2;0;0;1
23;3;1;0;0;0;0;0;2;0;0;2;0;0;1
24;3;1;0;0;0;0;0;2;0;0;2;0;0;1
25;3;1;0;0;0;0;0;2;1;0;2;0;0;1
26;3;0;0;0;0;0;0;2;2;0;2;0;0;1
27;6;1;0;0;0;0;0;2;2;0;2;0;0;1
28;5;0;0;0;0;0;0;2;1;0;2;0;0;1
29;4;3;0;0;0;0;0;2;1;0;2;0;0;2
30;4;1;0;0;0;0;0;2;0;0;2;0;0;2
31;4;1;0;0;0;0;0;2;1;0;2;0;0;2
32;4;7;8;5;8;8;8;10;8;7;10;8;0;2
33;11;9;8;6;8;8;9;10;6;8;11;8;6;8
34;12;12;11;11;13;9;11;9;12;10;11;10;7;7
35;11;12;10;9;12;11;10;11;12;10;12;12;9;10
36;12;13;10;7;10;12;8;12;14;9;11;13;9;8
37;13;11;10;6;11;11;8;12;8;9;10;12;9;7
38;10;12;10;5;11;9;7;14;8;9;10;10;5;9
39;10;10;8;3;11;8;9;13;8;9;7;11;5;11
40;6;4;8;3;7;6;9;9;3;8;4;10;2;10
41;5;5;6;1;5;4;6;6;6;5;3;5;1;8
42;5;2;3;0;4;3;4;6;2;2;3;3;0;4
43;1;0;1;0;3;2;2;6;2;1;2;3;0;2
44;2;0;1;0;2;1;2;6;1;1;1;3;0;4
45;2;1;0;0;2;1;2;5;2;1;1;2;0;4
46;1;0;0;0;2;1;2;4;0;1;1;1;0;2
47;1;2;0;0;2;1;2;4;1;1;1;1;0;2
48;1;2;0;0;2;1;2;4;1;1;1;1;0;2
49;1;1;0;0;1;1;2;4;1;1;1;1;0;2
50;1;0;0;0;1;1;2;4;3;1;1;2;0;2
51;1;2;0;0;1;1;2;4;1;1;1;2;0;1
52;1;2;0;0;1;1;2;4;2;1;1;2;0;1
53;1;0;0;0;1;1;2;4;0;1;1;2;0;1
54;1;1;0;0;1;1;2;4;1;1;1;2;0;1
55;1;0;0;0;1;1;2;4;0;1;1;2;0;1
56;1;4;2;1;1;3;2;4;3;2;2;3;0;1
57;4;7;7;8;9;8;9;9;5;7;7;9;0;1
58;9;8;9;9;9;11;9;5;7;9;7;8;7;7
59;10;10;10;9;10;8;10;6;9;10;10;11;7;8
60;10;10;11;7;9;8;8;7;10;9;9;13;8;8
61;11;8;9;5;12;10;9;9;9;9;8;13;7;9
62;12;10;10;5;11;10;8;12;13;9;7;13;9;10
63;12;6;11;5;9;7;7;10;9;7;5;10;6;7
64;10;8;8;5;7;5;4;8;8;6;5;8;4;9
65;9;6;7;4;3;4;2;6;2;4;2;7;3;6
66;7;3;5;4;3;2;1;5;4;3;2;2;2;6
67;5;4;3;4;4;0;1;4;3;3;1;3;0;5
68;2;2;2;3;2;0;1;3;3;3;1;1;0;4
69;2;5;2;4;1;0;1;2;1;3;1;0;0;4
70;2;1;0;4;1;0;1;1;2;3;0;0;0;2
71;2;0;0;3;0;1;1;1;1;3;0;0;0;3
72;2;1;0;0;3;0;1;1;1;1;3;0;0;2
73;4;3;0;0;2;0;1;1;2;1;3;0;0;0
74;4;0;0;0;2;0;0;1;0;1;4;0;0;0
75;4;2;0;0;2;0;0;1;3;1;4;0;0;0
76;4;3;0;0;2;0;0;1;1;1;4;0;0;0
77;4;1;0;0;2;0;0;1;1;1;4;0;0;0
78;4;0;0;0;2;0;0;1;0;1;4;0;0;0
79;4;4;0;0;2;0;0;1;2;1;4;0;0;0
80;4;9;8;7;9;6;6;8;5;7;11;5;0;0
81;11;9;9;8;9;6;8;8;11;7;11;5;8;8
82;10;10;10;9;13;10;11;8;11;10;11;7;8;8
83;11;10;9;9;12;9;11;12;9;10;12;8;10;7
84;7;10;10;9;11;11;10;10;10;11;11;10;10;10
85;9;14;12;7;9;12;8;11;6;11;12;10;9;10
86;9;9;12;6;11;9;12;11;9;10;12;8;7;12
87;7;7;9;7;8;8;11;10;11;7;10;7;4;12
88;6;7;5;3;5;8;8;8;3;6;7;6;4;11
89;6;8;4;2;3;6;4;8;5;6;4;4;3;7
90;3;4;3;1;4;3;4;5;5;5;3;2;1;5
91;1;5;3;1;4;2;3;3;3;4;3;2;0;5
92;0;2;1;0;2;2;2;1;4;4;3;1;0;2
93;0;2;1;0;2;1;1;1;1;4;3;0;0;0
94;0;3;1;0;2;1;0;1;2;4;3;0;0;0
95;0;1;0;0;1;1;0;1;1;4;3;0;0;0
96;0;0;0;0;1;1;0;1;2;4;3;0;0;0
97;0;2;0;0;1;1;0;1;1;4;3;0;0;0
98;0;3;0;0;1;1;0;1;1;4;3;0;0;0
99;0;1;0;0;1;1;0;1;2;4;3;0;0;0
100;0;1;0;0;1;1;0;1;1;4;3;0;0;0
101;0;2;0;0;1;1;0;1;1;4;3;0;0;0
102;0;4;0;0;1;1;0;1;1;4;3;0;0;0
103;0;2;0;0;1;1;0;1;2;4;3;0;0;0
104;0;1;0;0;1;1;0;1;1;4;2;0;0;0
105;0;1;0;1;0;1;1;1;0;3;0;0;0;0
106;0;0;0;1;0;1;1;0;0;1;0;0;0;0
107;0;0;0;1;0;1;0;0;0;0;0;1;0;0
108;0;1;0;1;0;1;0;0;0;0;0;1;1;1
109;0;1;0;0;0;2;0;0;2;0;0;1;0;2
110;0;0;0;0;0;1;0;0;0;0;0;0;0;1
111;0;1;0;0;1;0;0;1;2;0;0;0;0;0
112;1;0;0;0;1;0;0;1;0;0;0;0;0;0
113;1;0;0;0;1;0;1;1;0;1;0;0;0;0
114;1;0;0;0;0;0;1;2;1;0;0;0;0;0
115;1;1;0;0;0;0;0;1;1;0;0;2;0;0
116;1;1;0;0;0;0;0;0;0;0;0;2;0;0
117;1;1;0;0;0;0;0;0;0;0;0;2;0;0
118;1;1;0;0;0;0;0;0;0;0;0;0;0;0
119;0;0;0;0;0;0;0;0;0;0;0;0;0;0
120;0;0;0;0;0;0;0;0;0;0;0;0;0;0
121;0;0;0;0;0;0;0;0;0;0;0;0;0;0
122;0;0;0;0;0;0;0;0;0;0;0;0;0;0
123;0;0;0;0;0;0;0;0;0;0;0;0;0;0
124;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125;0;0;0;0;0;0;0;0;0;0;0;0;0;0
126;0;0;0;0;0;0;0;0;0;0;0;0;0;0
127;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128;0;0;0;0;1;1;0;0;0;0;0;0;0;0
